"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"BOL","Bolivia, Plurinational State of",0.526417108568565,0.520421234094435,0.524278796985984,0.518815947827249,0.517863585291276,0.513718068137843,0.507349583418402,0.510526225969415,0.507166929950112,0.499202219593857,0.496904342289298,0.498190280376007,0.487728945690142,0.483557039204333,0.483747492551559,0.479351368742743,0.47006668492942,0.467284995216256,0.462844301908751,0.461619755954403,0.460787260929829,0.460254309275754,0.459961835119259
"BIH","Bosnia and Herzegovina",0.398503519775154,0.397047547221607,0.417623513366549,0.405858340764896,0.397300473519863,0.404673234712715,0.395238879603705,0.392970918084447,0.391200706298354,0.387155793234983,0.38587006233647,0.38497827772786,0.38399124113303,0.382381447700938,0.377126493641983,0.375540652590854,0.37471794487782,0.370852300253679,0.371906577480345,0.371897488638073,0.371615403806585,0.370612797690681,0.370750224330912
"BWA","Botswana",0.516745915646806,0.513786947550766,0.509040882421358,0.504056972438586,0.498852145669695,0.495760732855119,0.495249609597701,0.491403124172317,0.493180579016299,0.490706984776033,0.491824774505295,0.488174884063767,0.489841920709208,0.492964655496529,0.494902310381857,0.487452809304217,0.484318998953374,0.482606063593085,0.477579278793842,0.479858272631097,0.475477916158291,0.471242764322103,0.470928576172384
"BRA","Brazil",0.402730894806708,0.401323664946711,0.399136950756149,0.397165381451351,0.39605536578114,0.393841992691985,0.392441976351078,0.390000565862043,0.387873264021534,0.387387613508656,0.385274434209615,0.384165707673204,0.380998597910874,0.379221989656216,0.376864007557373,0.37518409847604,0.383688099037212,0.3824562056005,0.382499138753063,0.381973682324956,0.381082719938837,0.380660049772562,0.380520404992898
"BRN","Brunei Darussalam",0.426163830488873,0.425403917776489,0.424686232808453,0.424174076354582,0.423605913467804,0.422903913162946,0.417404172577325,0.411837476341224,0.406863372684995,0.402656347568515,0.399905712871218,0.402823316582632,0.397884834652891,0.399894127670196,0.400748175241945,0.395412419399652,0.395272524987212,0.393953629441842,0.397371110781755,0.39651209988719,0.396852018772201,0.395211723282808,0.395034551816513
"BGR","Bulgaria",0.372161132542694,0.371379028693587,0.370011072963271,0.368761219496041,0.368183756270169,0.369199613961291,0.366420005729252,0.364173346465574,0.361993847707854,0.360039748281063,0.356790440431453,0.356344681801409,0.355800188672943,0.354855149352924,0.355209084933076,0.351606473051814,0.344691488895946,0.339061023652528,0.339743257980655,0.340342344725465,0.341885267543451,0.343887525496012,0.344119623823791
"BFA","Burkina Faso",0.622888851868566,0.621801911030284,0.617259097234581,0.612506180755409,0.610812639816065,0.615922569199884,0.611350928119083,0.608461501997902,0.611838227459853,0.614720445053779,0.61433184185584,0.614477935938382,0.607346575448663,0.599603151681421,0.589529872583786,0.597617894831358,0.5880994608437,0.586040787289079,0.580695032166928,0.577666919532833,0.575212691784415,0.572851095024483,0.572455642985836
"BDI","Burundi",0.57669807083442,0.586136371303962,0.586393347795854,0.586826292470275,0.586888236165777,0.582788256695511,0.578940492804977,0.577360045479334,0.57977970780792,0.586120226068894,0.586712944715594,0.586548929181829,0.586935624680743,0.586474184220697,0.586392302811292,0.58533218763457,0.586149558599877,0.586729767384793,0.583121866168906,0.578394041006246,0.579765456132414,0.581000420317597,0.580995695033227
"KHM","Cambodia",0.584906557530991,0.594706164275154,0.590843491060454,0.577433541488518,0.572129318449909,0.566962360341902,0.564323986613894,0.557449996561253,0.556082432460174,0.557984954167122,0.554032093472456,0.559881309713408,0.558481715601393,0.547764927726674,0.542851321104915,0.53926818058163,0.531940258974618,0.531243500338747,0.524736165460252,0.515461260372751,0.517597287762965,0.51755891451037,0.517469010510576
"CMR","Cameroon",0.501696828271279,0.498292390658089,0.496954875297345,0.496189496245048,0.495329384509894,0.49848054998096,0.497501572184205,0.497880735669641,0.494481257497142,0.494225007587875,0.495118947892903,0.492590824872875,0.493114608903351,0.492677637662665,0.492199603287534,0.491424074458045,0.49052977980821,0.489175900676924,0.485975886448708,0.487538922055169,0.484848509396182,0.482994384800073,0.482688637521711
